state,release_period,nurse_communication,doctor_communication,staff_responsiveness,recommend_hospital,communication_score,experience_score,executive_satisfaction_index
AK,07_2015,74.0,75.0,68.0,70.0,74.5,68.0,70.94999999999999
AK,07_2016,78.0,82.0,73.0,69.0,80.0,73.0,73.1
AK,07_2017,76.0,80.0,70.0,69.0,78.0,70.0,71.9
AK,07_2018,79.0,80.0,73.0,74.0,79.5,73.0,75.44999999999999
AK,07_2019,80.0,79.0,69.0,66.0,79.5,69.0,70.64999999999999
AK,07_2020,78.0,82.0,73.0,74.0,80.0,73.0,75.6
AK,07_2021,79.0,82.0,77.0,70.0,80.5,77.0,74.55
AK,07_2022,78.0,79.0,65.0,69.0,78.5,65.0,71.05
AK,07_2023,80.0,81.0,66.0,73.0,80.5,66.0,73.85
AL,07_2015,81.0,86.0,69.0,71.0,83.5,69.0,74.35
AL,07_2016,81.0,86.0,69.0,71.0,83.5,69.0,74.35
AL,07_2017,82.0,86.0,70.0,71.0,84.0,70.0,74.7
AL,07_2018,81.0,84.0,71.0,71.0,82.5,71.0,74.45
AL,07_2019,82.0,84.0,73.0,71.0,83.0,73.0,75.0
AL,07_2020,81.0,84.0,73.0,70.0,82.5,73.0,74.35
AL,07_2021,82.0,84.0,72.0,70.0,83.0,72.0,74.3
AL,07_2022,81.0,83.0,68.0,69.0,82.0,68.0,72.69999999999999
AL,07_2023,80.0,82.0,68.0,68.0,81.0,68.0,71.9
AR,07_2015,80.0,84.0,69.0,68.0,82.0,69.0,72.39999999999999
AR,07_2016,80.0,85.0,69.0,70.0,82.5,69.0,73.55
AR,07_2017,81.0,84.0,70.0,70.0,82.5,70.0,73.75
AR,07_2018,81.0,84.0,72.0,71.0,82.5,72.0,74.65
AR,07_2019,81.0,83.0,72.0,71.0,82.0,72.0,74.5
AR,07_2020,81.0,84.0,72.0,71.0,82.5,72.0,74.65
AR,07_2021,81.0,84.0,71.0,71.0,82.5,71.0,74.45
AR,07_2022,80.0,83.0,67.0,69.0,81.5,67.0,72.35000000000001
AR,07_2023,81.0,83.0,69.0,70.0,82.0,69.0,73.39999999999999
AZ,07_2015,77.0,78.0,66.0,70.0,77.5,66.0,71.45
AZ,07_2016,77.0,77.0,66.0,70.0,77.0,66.0,71.3
AZ,07_2017,77.0,77.0,64.0,69.0,77.0,64.0,70.39999999999999
AZ,07_2018,77.0,77.0,67.0,70.0,77.0,67.0,71.5
AZ,07_2019,78.0,77.0,67.0,70.0,77.5,67.0,71.65
AZ,07_2020,77.0,76.0,67.0,69.0,76.5,67.0,70.85000000000001
AZ,07_2021,77.0,77.0,67.0,69.0,77.0,67.0,71.0
AZ,07_2022,76.0,75.0,62.0,68.0,75.5,62.0,69.05
AZ,07_2023,75.0,75.0,61.0,65.0,75.0,61.0,67.2
CA,07_2015,75.0,78.0,62.0,70.0,76.5,62.0,70.35000000000001
CA,07_2016,75.0,78.0,62.0,69.0,76.5,62.0,69.85000000000001
CA,07_2017,75.0,78.0,61.0,70.0,76.5,61.0,70.15
CA,07_2018,76.0,78.0,63.0,70.0,77.0,63.0,70.69999999999999
CA,07_2019,76.0,77.0,64.0,70.0,76.5,64.0,70.75
CA,07_2020,77.0,78.0,64.0,71.0,77.5,64.0,71.55
CA,07_2021,77.0,78.0,64.0,70.0,77.5,64.0,71.05
CA,07_2022,75.0,76.0,61.0,69.0,75.5,61.0,69.35
CA,07_2023,74.0,75.0,59.0,66.0,74.5,59.0,67.14999999999999
CO,07_2015,79.0,81.0,69.0,74.0,80.0,69.0,74.8
CO,07_2016,80.0,82.0,70.0,75.0,81.0,70.0,75.8
CO,07_2017,81.0,82.0,70.0,76.0,81.5,70.0,76.45
CO,07_2018,80.0,81.0,72.0,76.0,80.5,72.0,76.55
CO,07_2019,80.0,82.0,72.0,75.0,81.0,72.0,76.2
CO,07_2020,82.0,83.0,73.0,76.0,82.5,73.0,77.35
CO,07_2021,82.0,83.0,73.0,76.0,82.5,73.0,77.35
CO,07_2022,81.0,82.0,70.0,75.0,81.5,70.0,75.95
CO,07_2023,80.0,80.0,68.0,74.0,80.0,68.0,74.6
CT,07_2015,79.0,80.0,65.0,71.0,79.5,65.0,72.35
CT,07_2016,80.0,79.0,64.0,70.0,79.5,64.0,71.64999999999999
CT,07_2017,80.0,79.0,65.0,70.0,79.5,65.0,71.85
CT,07_2018,79.0,79.0,64.0,72.0,79.0,64.0,72.5
CT,07_2019,80.0,80.0,65.0,72.0,80.0,65.0,73.0
CT,07_2020,80.0,80.0,65.0,73.0,80.0,65.0,73.5
CT,07_2021,80.0,80.0,65.0,71.0,80.0,65.0,72.5
CT,07_2022,78.0,78.0,60.0,70.0,78.0,60.0,70.4
CT,07_2023,77.0,77.0,58.0,67.0,77.0,58.0,68.19999999999999
